course_id,short_name,long_name,account_id,term_id,status,start_date,end_date,blueprint_course_id
UE_203_ØKB2006_1_2025_HØST_1,ØKB2006-1 25H,ØKB2006-1 25H Skatte- og avgiftsrett 1,ST_0203201400,2025_HØST,active,,,
UE_203_ØKB2008_1_2025_VÅR_1,ØKB2008-1 25V,ØKB2008-1 25V Skatte- og avgiftsrett 2,ST_0203201400,2025_VÅR,active,,,
UE_203_ØKB2008_1_2026_VÅR_1,ØKB2008-1 26V,ØKB2008-1 26V Skatte- og avgiftsrett 2,ST_0203201400,2026_VÅR,active,,,
UE_203_ØKB2113_1_2025_HØST_1,ØKB2113-1 25H,ØKB2113-1 25H By- og regionaløkonomi,ST_0203201400,2025_HØST,active,,,
UE_203_ØKB2117_1_2024_HØST_1,ØKB2117-1 24H,ØKB2117-1 24H Entreprenørskap,ST_0203201400,2024_HØST,active,,,
UE_203_ØKB2117_1_2025_HØST_1,ØKB2117-1 25H,ØKB2117-1 25H Entreprenørskap,ST_0203201400,2025_HØST,active,,,
UE_203_ØKB2121_1_2025_VÅR_1,ØKB2121-1 25V,ØKB2121-1 25V Internasjonal markedsføring,ST_0203201400,2025_VÅR,active,,,
UE_203_ØKB2121_1_2026_VÅR_1,ØKB2121-1 26V,ØKB2121-1 26V Internasjonal markedsføring,ST_0203201400,2026_VÅR,active,,,
UE_203_ØKB2123_1_2025_VÅR_1,ØKB2123-1 25V,ØKB2123-1 25V Foretaksstrategi ,ST_0203201400,2025_VÅR,active,,,
UE_203_ØKB2123_1_2026_VÅR_1,ØKB2123-1 26V,ØKB2123-1 26V Foretaksstrategi ,ST_0203201400,2026_VÅR,active,,,
UE_203_ØKB2124_1_2025_VÅR_1,ØKB2124-1 25V,ØKB2124-1 25V Samfunnsvitenskapelig metode,ST_0203201400,2025_VÅR,active,,,
UE_203_ØKB2124_1_2026_VÅR_1,ØKB2124-1 26V,ØKB2124-1 26V Samfunnsvitenskapelig metode,ST_0203201400,2026_VÅR,active,,,
UE_203_ØKB3103_1_2025_VÅR_1,ØKB3103-1 25V,ØKB3103-1 25V Finansielle instrumenter,ST_0203201400,2025_VÅR,active,,,
UE_203_ØKB3103_1_2026_VÅR_1,ØKB3103-1 26V,ØKB3103-1 26V Finansielle instrumenter,ST_0203201400,2026_VÅR,active,,,
UE_203_ØKB3111_1_2024_HØST_1,ØKB3111-1 24H,ØKB3111-1 24H Bacheloroppgave (Profil - Regnskap),ST_0203201400,2024_HØST-2025_VÅR,active,,,
UE_203_ØKB3111_1_2025_HØST_1,ØKB3111-1 25H,ØKB3111-1 25H Bacheloroppgave (Profil - Regnskap),ST_0203201400,2025_HØST-2026_VÅR,active,,,
UE_203_ØKB3113_1_2024_HØST_1,ØKB3113-1 24H,ØKB3113-1 24H Bacheloroppgave,ST_0203201400,2024_HØST-2025_VÅR,active,,,
UE_203_ØKB3113_1_2025_HØST_1,ØKB3113-1 25H,ØKB3113-1 25H Bacheloroppgave,ST_0203201400,2025_HØST-2026_VÅR,active,,,
UE_203_ØKB3117_1_2024_HØST_1,ØKB3117-1 24H,ØKB3117-1 24H Videregående finansregnskap,ST_0203201400,2024_HØST,active,,,
UE_203_ØKB3118_1_2024_HØST_1,ØKB3118-1 24H,ØKB3118-1 24H Regnskapsteori,ST_0203201400,2024_HØST,active,,,
UE_203_ØKB3119_1_2025_VÅR_1,ØKB3119-1 25V,ØKB3119-1 25V Regnskapsføreryrket  og regnskapsorganisering,ST_0203201400,2025_VÅR,active,,,
UE_203_ØKB3120_1_2024_HØST_1,ØKB3120-1 24H,ØKB3120-1 24H Rettslære,ST_0203201400,2024_HØST,active,,,
UE_203_ØKB3120_1_2025_HØST_1,ØKB3120-1 25H,ØKB3120-1 25H Rettslære,ST_0203201400,2025_HØST,active,,,
UE_203_ØKB3123_1_2025_VÅR_1,ØKB3123-1 25V,ØKB3123-1 25V Human Resource Management,ST_0203201400,2025_VÅR,active,,,
UE_203_ØKB3123_1_2026_VÅR_1,ØKB3123-1 26V,ØKB3123-1 26V Human Resource Management,ST_0203201400,2026_VÅR,active,,,
UE_203_ØKB3130_1_2024_HØST_1,ØKB3130-1 24H,ØKB3130-1 24H Bærekraftig shippingøkonomi ,ST_0203201400,2024_HØST,active,,,
UE_203_ØKB3130_1_2025_HØST_1,ØKB3130-1 25H,ØKB3130-1 25H Bærekraftig shippingøkonomi ,ST_0203201400,2025_HØST,active,,,
UE_203_ØKB3131_1_2024_HØST_1,ØKB3131-1 24H,ØKB3131-1 24H Prosjektledelse og styring,ST_0203201400,2024_HØST,active,,,
UE_203_ØKB3131_1_2025_HØST_1,ØKB3131-1 25H,ØKB3131-1 25H Prosjektledelse og styring,ST_0203201400,2025_HØST,active,,,
UE_203_ØKB3132_1_2024_HØST_1,ØKB3132-1 24H,ØKB3132-1 24H Digitalisering og omstilling,ST_0203201400,2024_HØST,active,,,
UE_203_ØKB3132_1_2025_HØST_1,ØKB3132-1 25H,ØKB3132-1 25H Digitalisering og omstilling,ST_0203201400,2025_HØST,active,,,
UE_203_ØKB3133_1_2026_VÅR_1,ØKB3133-1 26V,ØKB3133-1 26V Bærekraft som konkurransefordel ,ST_0203201400,2026_VÅR,active,,,
UE_203_ØKB3134_1_2025_HØST_1,ØKB3134-1 25H,ØKB3134-1 25H Videregående finansregnskap,ST_0203201400,2025_HØST,active,,,
UE_203_ØKB3135_1_2025_HØST_1,ØKB3135-1 25H,ØKB3135-1 25H Årsregnskap i praksis,ST_0203201400,2025_HØST,active,,,
UE_203_ØKB3136_1_2026_VÅR_1,ØKB3136-1 26V,"ØKB3136-1 26V Regnskapsførerregelverket, regnskapsorganisering og forretningsforståelse",ST_0203201400,2026_VÅR,active,,,
UE_203_ØKB3150_1_2024_HØST_1,ØKB3150-1 24H,ØKB3150-1 24H Praksis - Økonomi og administrasjon,ST_0203201400,2024_HØST,active,,,
